"Author","Gender"
"Quintero, Isabel","female"
"Sapphire","female"
"Stassen, Jean-Philippe","male"
"Steel, Danielle","female"
"Stein, Garth","male"
"Abbott, Hailey","female"
"Abbott, Tony","male"
"Abdel-Fattah, Randa","female"
"Abrahams, Peter","male"
"Abrams, Amir.","male"
"Aceves, Fred","male"
"Adams, Douglas","male"
"Adams, Richard","male"
"Adeyemi, Tomi","female"
"Adler, Dahlia","female"
"Adoff, Jaime","male"
"Adornetto, Alexandra","female"
"Ahmadi, Arvin","male"
"Ahmed, Samira","female"
"Alameda, Courtney","female"
"Albert, Melissa","female"
"Albin, Gennifer","female"
"Alegría, Malín.","female"
"Alender, Katie","female"
"Alexander, Alma","female"
"Alexander, John T.","male"
"Aliki","female"
"Allan, Tony","male"
"Allen, Kate","female"
"Allen, Rachael","female"
"Allende, Isabel","female"
"Allison, Anthony","male"
"Alsaid, Adi","male"
"Alten, Steve","male"
"Ameriie","female"
"Amir","male"
"Andersen, Liselotte","female"
"Anderson, Jodi Lynn","female"
"Anderson, M. T.","male"
"Anderson, Natalie C.","female"
"Anderson, R. J.","female"
"Andrews, V. C.","female"
"Anthony, Piers","male"
"Appignanesi, Richard","male"
"Archer, Jeffrey","male"
"Arcos, Carrie","female"
"Armstrong, Kelley","female"
"Arnold, David","male"
"Arsenault, Emily","female"
"Asphyxia","non-binary"
"Aster, Alex","non-binary"
"Athill, Diana","female"
"Atta, Dean","male"
"Avasthi, Swati","female"
"Avery, Lara","female"
"Aveyard, Victoria","female"
"Bacigalupi, Paolo","male"
"Backman, Fredrik","male"
"Bagieu, Pénélope","female"
"Bailey, Blake","male"
"Baker, Chandler","male"
"Baldacci, David","male"
"Baldwin, James","male"
"Ballard, Alexandra","female"
"Bambara, Toni","female"
"Bardi, Abby","female"
"Bardugo, Leigh","female"
"Barker, Michelle","female"
"Barnes, John","male"
"Barnhill, Kelly","female"
"Barr, Emily","female"
"Barry, Max","male"
"Bashardoust, Melissa","female"
"Bassett, Kate","female"
"Bates, Laura","female"
"Bauer, Cat","female"
"Bayerl, Katie","female"
"Beals, Melba","female"
"Beam, Cris","trans man"
"Bean, Lexie","non-binary"
"Bedford, Martyn","male"
"Bell, Ted","male"
"Bennett-Wealer, Sara","female"
"Bennett, James W.","male"
"Bennett, Jenn","female"
"Bennett, Marguerite","female"
"Benway, Robin","female"
"Berendt, John","male"
"Berk, Josh","male"
"Berlatsky, Noah","male"
"Bernstein, Sara Tuvel","female"
"Berry, Julie","female"
"Bick, Ilsa J.","female"
"Bingham, Jane","female"
"Birdseye, Tom","male"
"Biren, Sara L.","female"
"Black, Holly","female"
"Blackman, Malorie","female"
"Blake, Elly","female"
"Blake, Jillian","female"
"Bloom, Harold","male"
"Blundell, Judy","female"
"Blythe, Carolita","female"
"Boecker, Virginia","female"
"Bolden, Tonya","female"
"Bolin, Carrie","female"
"Boorman, Kate A.","female"
"Boose, Greg","male"
"Bouchard, Elizabeth","female"
"Bow, Erin","female"
"Bowman, Akemi Dawn","female"
"Bradbury, Ray","male"
"Bradford, Ernle Dusgate Selby","male"
"Bradley, Kimberly Brubaker","female"
"Brainard, Cecilia Manguerra","female"
"Brande, Robin","female"
"Brant, Wendy","female"
"Brashares, Ann","female"
"Brennan, Sarah Rees","female"
"Brewer, Derek","male"
"Brezenoff, Steven","male"
"Bridgers, Sue Ellen","female"
"Bridges, Robin","female"
"Brindley, John","male"
"Brink, Carol Ryrie","female"
"Britton, Felicity",""
"Harrington, Kim","female"
"Harris, Thomas","male"
"Harrison, Harry","male"
"Hartinger, Brent","male"
"Hartman, Rachel","female"
"Hassman, Tupelo","female"
"Hattrup, Karen","female"
"Hautman, Pete","male"
"Haydu, Corey Ann","female"
"Heathfield, Lisa","female"
"Henry, Emily","female"
"Hesse, Monica","female"
"Hiaasen, Carl","male"
"Hicks, John","male"
"Hill, Will","male"
"Hirsh, Ananth","male"
"Hocking, Amanda","female"
"Hoena, B. A.","male"
"Hoffmeister, Peter Brown","male"
"Holmes, Ronald M.","male"
"Hopkins, Jerry","male"
"Horikoshi, Kōhei","male"
"Houck, Colleen","female"
"Howard, A. G.","female"
"Howatch, Susan","female"
"Howe, Katherine","female"
"Howlett, John","male"
"Huff, Tanya","female"
"Hugo, Victor","male"
"Hur, June","female"
"Hutchison, Dot","female"
"Hyde, Catherine Ryan","female"
"Ibbotson, Eva","female"
"Iles, Greg","male"
"Iloh, Candice","non-binary"
"Innes, Brian","male"
"Jacobson, Sid","male"
"Jae-Jones, S.","non-binary"
"James, P. D.","female"
"Janssen, Sarah","female"
"Jefferson, Louise E.","female"
"Johansen, Iris","female"
"Johnson, Abigail","female"
"Johnson, Maureen","female"
"Johnston, E. K","female"
"Johnston, E. K.","female"
"Jones, Carrie","female"
"Jordan, Robert","male"
"Joy, Amanda","female"
"Joyce, James","male"
"Juby, Susan","female"
"Jussim, Daniel","male"
"Kate, Lauren","female"
"Katsoulis, Gregory Scott","male"
"Kaufman, Amie","female"
"Kehoe, Stasia Ward","female"
"Keil, Melissa","female"
"Kelley, Kitty","female"
"Kemmerer, Brigid","female"
"Keneally, Thomas","male"
"Kenneally, Miranda","female"
"Kercheval, Jesse Lee","female"
"Keyser, Amber J.","female"
"Khan, Sabina","female"
"Kidd, Jess","non-binary"
"Kiely, Brendan","male"
"Kim, Angie","female"
"Kim, On-su","male"
"Kincaid, S. J.","female"
"King, Sarah E.","female"
"Kishimoto, Masashi","male"
"Kizer, Amber","female"
"Klass, David","male"
"Koertge, Ronald","male"
"Kogawa, Joy","female"
"Konigsberg, Bill","male"
"Konstam, Angus","male"
"Kraft, Vickie","female"
"Kraus, Daniel","male"
"Kreicbergs, Toms","male"
"Krensky, Stephen","male"
"Kuehn, Stephanie","female"
"Kushner, Rachel","female"
"Labrecque, Ellen","female"
"Lahiri, Jhumpa","female"
"Lanagan, Margo","female"
"Larson, Erik","male"
"Lawlor, Laurie","female"
"Laybourne, Emmy","female"
"Layman, John","male"
"Leavy, Jane","female"
"Lee, Mackenzi","female"
"Lee, Stan","male"
"Leech, Caroline","female"
"Leeming, David Adams","male"
"Lenoir, Axelle","female"
"Les Becquets, Diane","female"
"Lester, Julius","male"
"Levin, Jenifer","female"
"Lewis, C. S.","male"
"Lewis, Sinclair","male"
"Lim, Elizabeth","female"
"Litvinoff, Sarah","female"
"Livingston, Lesley","female"
"Llewellyn, Richard","male"
"Llywelyn, Morgan","female"
"Lore, Pittacus","N/A"
"Lorenz, Richard","male"
"Lowry, Beverly","female"
"Lu, Marie","female"
"Lund, Natalie","female"
"Lyon, George Ella","female"
"Lyons, Mary E.","female"
"Mabry, Samantha","female"
"MacTire, Norwyn","N/A"
"Madison, Bennett","male"
"Mair, George","male"
"Malam, John","male"
"Marrin, Albert","male"
"Mathis, Ayana","female"
"Matson, Morgan","female"
"Maupin, Armistead","male"
"McCaffrey, Anne","female"
"McCarthy, Andrew","male"
"McCarthy, Cormac","male"
"McCarthy, Mary","female"
"McCaughrean, Geraldine","female"
"McCourt, Frank","male"
"McDowell, Bart","male"
"McGinty, Alice B.","female"
"McKayhan, Monica","female"
"McLaughlin, Emma","female"
"McManus, Karen M.","female"
"McReynolds, Glenna","female"
"Meehl, Brian","male"
"Mejia, Tehlor Kay","queer non-binary"
"Messner, Kate","female"
"Meyer, L. A.","male"
"Miller, Kirsten","female"
"Miller, Lauren","female"
"Miller, Ron","male"
"Mitchard, Jacquelyn","female"
"Mlynowski, Sarah","female"
"Moe, Barbara A.","female"
"Morgan, Chris","male"
"Morris, Brittney","female"
"Morris, Mary McGarry","female"
"Moss, Marissa","female"
"Moyes, Jojo","female"
"Mullin, Mike","male"
"Murakami, Haruki","male"
"Murray, Elizabeth A.","female"
"Murray, Jocelyn","female"
"National Geographic Kids","N/A"
"National Geographic Society","N/A"
"Nelson, Blake","male"
"Newcomb, Robert","male"
"Newton, Michael","male"
"Ng, Celeste","female"
"Ngan, Natasha","female"
"Nielsen, Jennifer A.","female"
"Nnoromele, Salome","female"
"Noël, Alyson","female"
"Noni, Lynette","female"
"Noone, Gabby","female"
"Norman, Philip","male"
"O'Brien, Cynthia","female"
"O'Reilly, Bill","male"
"Ohkubo, Atsushi","male"
"Olshan, Matthew","male"
"Olson, Nathan","male"
"Omololu, Cynthia Jaynes","female"
"Oppel, Kenneth","male"
"Orvell, Miles","male"
"Ostrom, Melissa","female"
"Ottaviani, Jim","male"
"Oxford, Andromeda","non-binary"
"Packer, Kenneth L.","male"
"Paige, D. M.","female"
"Painter, Nell Irvin","female"
"Parker, Morgan","female"
"Parker, Robert B.","male"
"Parker, Steve","male"
"Parrot, Andrea","female"
"Pasternak, Boris Leonidovich","male"
"Patel, Sonia","female"
"Paterson, Katherine","female"
"Paton, Jonathan","male"
"Payne, Mary Jennifer","female"
"Pearson, Anne","female"
"Pearson, Mary E.","female"
"Peck, Richard","male"
"Perry, Bruce","male"
"Pfeffer, Susan Beth","female"
"Philip, Neil","male"
"Philippe, Ben","male"
"Picknett, Lynn","female"
"Pierce, Tamora","female"
"Pierce, Tamora.","female"
"Pike, Aprilynne","female"
"Pinborough, Sarah","female"
"Plath, Sylvia","female"
"Plowden, David","male"
"Pomplun, Tom","male"
"Ponti, James","male"
"Pool, Katy Rose","female"
"Positano, Rock G.","male"
"Pride, Felicia","female"
"Proulx, Annie","female"
"Proust, Marcel","male"
"Quick, Matthew","male"
"Ramirez, David","male"
"Rapp, Adam","male"
"Reed, Christina Hammonds","female"
"Reed, Jennifer","female"
"Reedy, Trent","male"
"Rees, Celia","female"
"Reinert, Dale Robert","male"
"Renn, Diana","female"
"Rennison, Louise","female"
"Resau, Laura","female"
"Reynolds, Jan","female"
"Reynolds, Toby","male"
"Ribowsky, Mark","male"
"Riggs, Ransom","male"
"Rinaldi, Ann","female"
"Rivera, Lilliam","female"
"Roe, Robin","female"
"Rosoff, Meg","female"
"Rossi, Veronica","female"
"Roth, Veronica","female"
"Roy, Arundhati","female"
"Roy, Rachel","female"
"Ruby, Laura","female"
"Russell, Kate Elizabeth","female"
"Rutkoski, Marie","female"
"Ryan, Darlene","female"
"Sadamoto, Yoshiyuki","male"
"Sakurakōji, Kanoko","female"
"Salisbury, Melinda","female"
"Sanchez, Jenny Torres","female"
"Sanderson, Brandon","male"
"Santiago, Esmeralda","female"
"Savit, Gavriel","male"
"Scarborough, Kate","female"
"Scheier, Leah","female"
"Schow, Betsy","female"
"Schrefer, Eliot","male"
"Schroeder, Lisa","female"
"Scottoline, Lisa","female"
"Sebastian, Laura","female"
"Selene, Lyra","non-binary"
"Senior, Michael","male"
"Shan, Darren","male"
"Shandler, Sara","female"
"Sharpe, Tess","female"
"Shecter, Vicky","female"
"Sheldon, Sidney","male"
"Shepherd, Megan","female"
"Showalter, Gena","female"
"Showalter, Gina","female"
"Shuker-Haines, Frances","female"
"Sitomer, Alan Lawrence","male"
"Skinner, Stephen","male"
"Skroce, Steve","male"
"Smith, Amber","female"
"Smith, Bradley","male"
"Smith, Martin Cruz","male"
"Smith, Stan","male"
"Smythe, Rachel","female"
"Snyder, Maria V.","female"
"Solomon, Rachel Lynn","queer female"
"Sonneborn, Liz","female"
"Sonnenblick, Jordan","male"
"Speare, Elizabeth George","female"
"Spoto, Donald","male"
"Springer, Nancy","female"
"St. Claire, Roxanne","female"
"Starmer, Aaron","male"
"Stein, Tammar","female"
"Stine, R. L.","male"
"Stoker, Bram","male"
"Stone, Tamara Ireland","female"
"Stork, Francisco X.","male"
"Strasser, Todd","male"
"Streissguth, Thomas","male"
"Summers, Courtney","female"
"Sundquist, Josh","male"
"Surmelis, Angelo","male"
"Süskind, Patrick","male"
"Sweeney, Joyce","female"
"Swisher, Karin","female"
"Tademy, Lalita","female"
"Tallent, Gabriel","male"
"Tamani, Liara","female"
"Tames, Richard","male"
"Tang, Andrea","female"
"Tashjian, Janet","female"
"Tate, Eleanora E.","female"
"Taylor, Laini","female"
"Taylor, Mildred D.","female"
"Teen Vogue","N/A"
"Thomas, Kara","female"
"Tibbals, Geoff","male"
"Tobias, Kristie","female"
"Todd, Anna","female"
"Toliver, Wendy","female"
"Torres Sanchez, Jenny","female"
"Turner, Ann","female"
"Twain, Mark","male"
"Vanderpool, Clare","female"
"Venezia, Mike","male"
"Verdi, Jessica","female"
"Voigt, Cynthia","female"
"Vronsky, Peter","male"
"Walker, Richard","male"
"Wallenfels, Stephen","male"
"Walworth, Nancy Zinsser","female"
"Waters, Rosa","female"
"Watson, Renée","female"
"Weegee","male"
"Wells, Rebecca","female"
"Welton, Jude","female"
"Wepman, Dennis","male"
"Wiggins, Bethany","female"
"Wilcox, R. Turner","male"
"Wilkinson, Philip","male"
"Williams, Carol Lynch","female"
"Williams, Heidi","female"
"Williams, Juan","male"
"Williams, Mary E.","female"
"Williamson, Lisa","female"
"Wilsdon, Christina","female"
"Winkler, Kathleen","female"
"Winters, Paul A.","male"
"Wittels, Harriet","female"
"Wizner, Jake","male"
"Woods, Stuart","male"
"Woodson, Jacqueline","female"
"World Book Encyclopedia","N/A"
"Wouk, Herman","male"
"Wright, Richard","male"
"X, Malcolm","male"
"Yabuki, Kentaro","male"
"Yancey, Diane","female"
"Yancey, Rick","male"
"Yarwood, Doreen","female"
"Yolen, Jane","female"
"Yoon, David","male"
"Yorath, David","male"
"Young, Adrienne","female"
"Young, Suzanne","female"
"Zhang, Amy","female"
"Zubrowski, Bernie","male"
"Zuckerman, Gregory","male"
"Zusak, Markus","male"
"Mailer, Norman","male"
"Mardell, Ashley","non-binary"
"Marr, Melissa","female"
"Marsden, John","male"
"Martin, Steve","male"
"Mazer, Norma Fox","female"
"McBride, Lish","female"
"McCorkle, Jill","female"
"McCoy, Mary","female"
"McGovern, Cammie","female"
"McKinney-Whetstone, Diane","female"
"McMillan, Terry","female"
"Mitchell, Saundra","female"
"Moore, Christopher","male"
"Moore, Peter G.","male"
"Napoli, Donna Jo","female"
"Neenan, Colin","male"
"Nelson, Jandy","female"
"Nelson, Theresa","female"
"Newth, Mette","female"
"Newton, Suzanne","female"
"Nicholson, Joy","female"
"Norton, Preston","male"
"Oakes, Stephanie","female"
"Oates, Joyce Carol","female"
"Oliver, Lauren","female"
"Ostertag, Molly Knox","non-binary"
"Packer, Ann","female"
"Papademetriou, Lisa","female"
"Parks, Gordon","male"
"Peet, Mal","male"
"Portman, Frank","male"
"Pullman, Philip","male"
"Quindlen, Anna","female"
"Revis, Beth","female"
"Robbins, Tom","male"
"Roberts, Nora","female"
"Rottman, S.L.","female"
"Sanders, Lawrence","male"
"Schmatz, Pat","non-binary"
"Schneider, Robyn","female"
"Schwab, Victoria","non-binary"
"See, Lisa","female"
"Silko, Leslie Marmon","female"
"Smith, Andrew","male"
"Sones, Sonya","female"
"Souljah, Sister","female"
"Stone, Irving","male"
"Straub, Peter","male"
"Thomas, Rob","male"
"Thurman, Wallace","male"
"Tolstoy, Leo","male"
"Toriyama, Akira","male"
"Ullman, James Ramsey","male"
"Updike, John","male"
"Walker, Alice","female"
"Walker, Margaret","female"
"Werlin, Nancy","female"
"Whaley, John Corey","male"
"White, T.H.","male"
"Wieler, Diana","female"
"Williams-Garcia, Rita","female"
"Williams, Lori Aurelia","female"
"Young, William P.","male"
"Yu, Mimi","female"
"Zappia, Francesca","female"
"Zentner, Jeff","male"
"Adichie, Chimamanda Ngozi","female"
"Clare, Cassandra","female"
"Cline, Ernest","male"
"Daldry, Jeremy","male"
"Drill, Esther","female"
"French, Gillian","female"
"Heinlein, Robert","male"
"King, A. S.","female"
"Koertge, Ron","male"
"Kwok, Jean","female"
"Nabokov, Vladimir","male"
"Pérez, Ashley Hope","female"
"Quintero, Isabel","female"
"Sapphire","female"
"Stassen, Jean-Philippe","male"
"Steel, Danielle","female"
"Stein, Garth","male"
"Abbott, Hailey","female"
"Abbott, Tony","male"
"Abdel-Fattah, Randa","female"
"Abrahams, Peter","male"
"Abrams, Amir.","male"
"Aceves, Fred","male"
"Adams, Douglas","male"
"Adams, Richard","male"
"Adeyemi, Tomi","female"
"Adler, Dahlia","female"
"Adoff, Jaime","male"
"Adornetto, Alexandra","female"
"Ahmadi, Arvin","male"
"Ahmed, Samira","female"
"Alameda, Courtney","female"
"Albert, Melissa","female"
"Albin, Gennifer","female"
"Alegría, Malín.","female"
"Alender, Katie","female"
"Alexander, Alma","female"
"Alexander, John T.","male"
"Aliki","female"
"Allan, Tony","male"
"Allen, Kate","female"
"Allen, Rachael","female"
"Allende, Isabel","female"
"Allison, Anthony","male"
"Alsaid, Adi","male"
"Alten, Steve","male"
"Ameriie","female"
"Amir","male"
"Andersen, Liselotte","female"
"Anderson, Jodi Lynn","female"
"Anderson, M. T.","male"
"Anderson, Natalie C.","female"
"Anderson, R. J.","female"
"Andrews, V. C.","female"
"Anthony, Piers","male"
"Appignanesi, Richard","male"
"Archer, Jeffrey","male"
"Arcos, Carrie","female"
"Armstrong, Kelley","female"
"Arnold, David","male"
"Arsenault, Emily","female"
"Asphyxia","non-binary"
"Aster, Alex","non-binary"
"Athill, Diana","female"
"Atta, Dean","male"
"Avasthi, Swati","female"
"Avery, Lara","female"
"Aveyard, Victoria","female"
"Bacigalupi, Paolo","male"
"Backman, Fredrik","male"
"Bagieu, Pénélope","female"
"Bailey, Blake","male"
"Baker, Chandler","male"
"Baldacci, David","male"
"Baldwin, James","male"
"Ballard, Alexandra","female"
"Bambara, Toni","female"
"Bardi, Abby","female"
"Bardugo, Leigh","female"
"Barker, Michelle","female"
"Barnes, John","male"
"Barnhill, Kelly","female"
"Barr, Emily","female"
"Barry, Max","male"
"Bashardoust, Melissa","female"
"Bassett, Kate","female"
"Bates, Laura","female"
"Bauer, Cat","female"
"Bayerl, Katie","female"
"Beals, Melba","female"
"Beam, Cris","trans man"
"Bean, Lexie","non-binary"
"Bedford, Martyn","male"
"Bell, Ted","male"
"Bennett-Wealer, Sara","female"
"Bennett, James W.","male"
"Bennett, Jenn","female"
"Bennett, Marguerite","female"
"Benway, Robin","female"
"Berendt, John","male"
"Berk, Josh","male"
"Berlatsky, Noah","male"
"Bernstein, Sara Tuvel","female"
"Berry, Julie","female"
"Bick, Ilsa J.","female"
"Bingham, Jane","female"
"Birdseye, Tom","male"
"Biren, Sara L.","female"
"Black, Holly","female"
"Blackman, Malorie","female"
"Blake, Elly","female"
"Blake, Jillian","female"
"Bloom, Harold","male"
"Blundell, Judy","female"
"Blythe, Carolita","female"
"Boecker, Virginia","female"
"Bolden, Tonya","female"
"Bolin, Carrie","female"
"Boorman, Kate A.","female"
"Boose, Greg","male"
"Bouchard, Elizabeth","female"
"Bow, Erin","female"
"Bowman, Akemi Dawn","female"
"Bradbury, Ray","male"
"Bradford, Ernle Dusgate Selby","male"
"Bradley, Kimberly Brubaker","female"
"Brainard, Cecilia Manguerra","female"
"Brande, Robin","female"
"Brant, Wendy","female"
"Brashares, Ann","female"
"Brennan, Sarah Rees","female"
"Brewer, Derek","male"
"Brezenoff, Steven","male"
"Bridgers, Sue Ellen","female"
"Bridges, Robin","female"
"Brindley, John","male"
"Brink, Carol Ryrie","female"
"Britton, Felicity","female"
"Brodsky, Daniella","female"
"Brodsky, Demetra","female"
"Brody, Jessica","female"
"Bronte, Emily","female"
"Brown, Dan","male"
"Brown, Jennifer","female"
"Brown, Scott","male"
"Buckley, Michael","male"
"Bull, Norman J.","male"
"Bunch, Bryan","male"
"Burdett, John","male"
"Burke, James Lee","male"
"Burnie, David","male"
"Burns, Laura J.","female"
"Burroughs, Augusten","male"
"Bushnell, Candace","female"
"Butcher, Jim","male"
"Buxbaum, Julie","female"
"Byers, Ann","female"
"Cabot, Meg","female"
"Cagan, Kayla","female"
"Calame, Don","male"
"Caldwell, Ian","male"
"Caldwell, S. A.","female"
"Caletti, Deb","female"
"Callender, Kacen","non-binary"
"Cameron, Peter","male"
"Cameron, Sharon","female"
"Camus, Albert","male"
"Capin, Hannah","female"
"Capps, Michael","male"
"Carleson, J. C.","female"
"Carlton, Susan Kaplan","female"
"Carmack, Cora","female"
"Carman, Patrick","male"
"Carriger, Gail","female"
"Carroll, Georgie","female"
"Carter, Aimée","female"
"Carter, Forrest","male"
"Cary, Kate","female"
"Cass, Kiera","female"
"Cassidy, Anne","female"
"Castellucci, Cecil","female"
"Castro, Tony","male"
"Cavallaro, Brittany","female"
"Cefrey, Holly","female"
"Chambers, Aidan","non-binary"
"Charaipotra, Sona","female"
"Chase, Paula","female"
"Chastain, Emma","female"
"Chee, Traci","female"
"Cherry, Alison","female"
"Chiasson, John","male"
"Child, Lee","male"
"Cho, Kat","female"
"Choi, Mary H. K.","female"
"Choi, Mary H.K.","female"
"Chokshi, Roshani","female"
"Christie, Agatha","female"
"Chupeco, Rin","non-binary"
"Cisneros, Sandra","female"
"Clement-Moore, Rosemary","female"
"Coates, Ta-Nehisi","male"
"Coben, Harlan","male"
"Cohen, Joshua","male"
"Colbert, Brandy","female"
"Collins, Renee","female"
"Conaghan, Brian","male"
"Cook, Hope","female"
"Cook, Karin","female"
"Copplestone, Trewin","male"
"Cornwell, Betsy","female"
"Cornwell, Patricia","female"
"Corthron, Kara Lee","female"
"Cosby, S. A.","male"
"Cosimano, Elle","female"
"Cotugno, Katie","female"
"Coulthurst, Audrey","female"
"Creech, Sharon","female"
"Crichton, Michael","male"
"Crispell, Susan Bishop","female"
"Cronin, Justin","male"
"Cross, Julie","female"
"Darrows, Eva","female"
"Dashner, James","male"
"Daud, Somaiya","female"
"Dawe, Ted","male"
"Day, Malcolm","male"
"Day, Meredith","female"
"De Bernières, Louis","male"
"de Gramont, Nina","female"
"de Koster, Katie","female"
"de la Pena, Matt","male"
"De Leon, Jennifer","female"
"De Lint, Charles","male"
"de Nanteuil, Luc","male"
"Dellaira, Ava","female"
"Dembicki, Matt","male"
"Demetrios, Heather","female"
"DeMille, Nelson","male"
"Deming, Sarah","female"
"Dennard, Susan","female"
"DePaola, Tomie","male"
"Deriso, Christine Hurley","female"
"DeStefano, Lauren","female"
"Deuker, Carl","male"
"Devlin, Calla","female"
"Dickens, Charles","male"
"Dickins, Rosie","female"
"Dickinson, John","male"
"Dirkes, Craig","male"
"Doak, Robin S.","female"
"Dockter, Debra","female"
"Doctorow, Cory","male"
"Doeden, Matt","male"
"Dogar, Sharon","female"
"Dolan, Sean","male"
"Dominick, Andie","female"
"Donald, David Herbert","male"
"Donne, Alexa","female"
"Dowd, Siobhan","female"
"Downham, Jenny","female"
"Downing, Antonio Michael","male"
"Doyle, Arthur Conan","male"
"Doyle, Larry","male"
"Druick, Douglas W.","male"
"Duncan, Alexandra","female"
"Earls, Nick","male"
"Eddings, David","male"
"Editors of Merriam-Webster","N/A"
"Editors of the American Heritage dictionaries","N/A"
"Ee, Susan","female"
"Eggers, Dave","male"
"Elliott, David","male"
"Elliott, Kate","female"
"Ellis, Kat","female"
"Ellison, Kate","female"
"Elston, Ashley","female"
"Emmich, Val","male"
"Evans, Nicholas","male"
"Eyman, Scott","male"
"Ezell, Heather","female"
"Falkner, Brian","male"
"Fantaskey, Beth","female"
"Farley, Christopher John","male"
"Faulkner, William","male"
"Felton, Bruce","male"
"Ferguson, Alane","female"
"Ferman, Edward L.","male"
"Fiedler, Lisa","female"
"Finlay, Adrianne","female"
"Fisher, Catherine","female"
"Fitzgerald, F. Scott","male"
"Fitzgerald, Laura Marx","female"
"Fitzpatrick, Huntley","male"
"Flaubert, Gustave","male"
"Flaum, Eric","male"
"Follain, John","male"
"Follett, Ken","male"
"Fontes, Justine","female"
"Forest, Laurie","female"
"Forna, Namina","female"
"Fowler, Karen Joy","female"
"Fowley-Doyle, Moïra","female"
"Francis, Dick","male"
"Frank, Anne","female"
"Franzen, Jonathan","male"
"Fredericks, Mariah","female"
"Fromm, Erick","male"
"Fuentes, Carlos","male"
"Funke, Cornelia","female"
"Gabaldon, Diana","female"
"Ganeri, Anita","female"
"Garber, Romina","female"
"Garber, Stephanie","female"
"García Márquez, Gabriel","male"
"Gardiner, John Eliot","male"
"Gattis, Ryan","male"
"Geary, Rick","male"
"Gebhart, Ryan","male"
"Geiger, J. C.","male"
"George, Alice L.","female"
"George, Margaret","female"
"Gessner, Marina","female"
"Gibbons, Kaye","female"
"Gilb, Dagoberto","male"
"Gilbran, Lahlil","male"
"Giles, Amy","female"
"Giles, Lamar","male"
"Gillman, Melanie","female"
"Gish, Steven","male"
"Glaser, Milton","male"
"Glasgow, Kathleen","female"
"Glenday, Craig","male"
"Godberson, Anna","female"
"Going, K. L.","female"
"Going, K.L.","female"
"Golding, William","male"
"Gonsalves, Florence","female"
"Gonzalez, Julie","female"
"Gordon, Richard","male"
"Gornall, Louise","female"
"Grace, Amanda","female"
"Grahame-Smith, Seth","male"
"Gratton, Tessa","female"
"Gray, Libba","female"
"Green, Hannah","female"
"Green, Sally","female"
"Grennan, Conor","male"
"Griffin, Adele","female"
"Griffin, Bethany","female"
"Griffin, John Howard","male"
"Griffin, Paul","male"
"Grisham, John","male"
"Guterson, David","male"
"Guy, Rosa","female"
"Hahn, Mary Downing","female"
"Hall, Maggie","female"
"Hallam, Elizabeth","female"
"Handler, Daniel","male"
"Hanft, Joshua E.","male"
"Hardy, Thomas","male"
"Harkaway, Nick","male"
"Mailer, Norman","male"
"Mardell, Ashley","non-binary"
"Marr, Melissa","female"
"Marsden, John","male"
"Martin, Steve","male"
"Mazer, Norma Fox","female"
"McBride, Lish","female"
"McCorkle, Jill","female"
"McCoy, Mary","female"
"McGovern, Cammie","female"
"McKinney-Whetstone, Diane","female"
"McMillan, Terry","female"
"Mitchell, Saundra","female"
"Moore, Christopher","male"
"Moore, Peter G.","male"
"Napoli, Donna Jo","female"
"Neenan, Colin","male"
"Nelson, Jandy","female"
"Nelson, Theresa","female"
"Newth, Mette","female"
"Newton, Suzanne","female"
"Nicholson, Joy","female"
"Norton, Preston","male"
"Oakes, Stephanie","female"
"Oates, Joyce Carol","female"
"Oliver, Lauren","female"
"Ostertag, Molly Knox","non-binary"
"Packer, Ann","female"
"Papademetriou, Lisa","female"
"Parks, Gordon","male"
"Peet, Mal","male"
"Portman, Frank","male"
"Pullman, Philip","male"
"Quindlen, Anna","female"
"Revis, Beth","female"
"Robbins, Tom","male"
"Roberts, Nora","female"
"Rottman, S.L.","female"
"Sanders, Lawrence","male"
"Schmatz, Pat","non-binary"
"Schneider, Robyn","female"
"Schwab, Victoria","non-binary"
"See, Lisa","female"
"Silko, Leslie Marmon","female"
"Smith, Andrew","male"
"Sones, Sonya","female"
"Souljah, Sister","female"
"Stone, Irving","male"
"Straub, Peter","male"
"Thomas, Rob","male"
"Thurman, Wallace","male"
"Tolstoy, Leo","male"
"Toriyama, Akira","male"
"Ullman, James Ramsey","male"
"Updike, John","male"
"Walker, Alice","female"
"Walker, Margaret","female"
"Werlin, Nancy","female"
"Whaley, John Corey","male"
"White, T.H.","male"
"Wieler, Diana","female"
"Williams-Garcia, Rita","female"
"Williams, Lori Aurelia","female"
"Young, William P.","male"
"Yu, Mimi","female"
"Zappia, Francesca","female"
"Zentner, Jeff","male"
"Adichie, Chimamanda Ngozi","female"
"Clare, Cassandra","female"
"Cline, Ernest","male"
"Daldry, Jeremy","male"
"Drill, Esther","female"
"French, Gillian","female"
"Heinlein, Robert","male"
"King, A. S.","female"
"Koertge, Ron","male"
"Kwok, Jean","female"
"Nabokov, Vladimir","male"
"Pérez, Ashley Hope","female"
"Quintero, Isabel","female"
"Sapphire","female"
"Stassen, Jean-Philippe","male"
"Steel, Danielle","female"
"Stein, Garth","male"
"Abbott, Hailey","female"
"Abbott, Tony","male"
"Abdel-Fattah, Randa","female"
"Abrahams, Peter","male"
"Abrams, Amir.","male"
"Aceves, Fred","male"
"Adams, Douglas","male"
"Adams, Richard","male"
"Adeyemi, Tomi","female"
